"FIGIS_ID","ISCAAP_ID","NAME_en","NAME_fr","NAME_es","NAME_ar","NAME_cn","NAME_ru","Unit","Scientific.Name","Alpha3.Code","FAOMAP_LAYER_ID","Author"
"18825","1706311703","Humphead wrasse","Napoléon","Napoleón","نابوليون","波纹唇鱼(曲纹唇鱼)","","t","Cheilinus undulatus","HVM","","Rüppell 1835"
"17651","3161600314","Guinea razor shell","Couteau de Guinée","Longueiron de Guinea","قوقعة مُضجِرة غينية","几内亚竹蛏","","t","Solen guineensis","EGN","","Hanley 1842"
"17653","3164200217","Hyaline tellin","Telline hyaline","Telina hialina","تِيلِّين شفاّفة","哈利哪樱蛤","","t","Tellina hyalina","TXH","","Gmelin 1791"
"17645","3163600401","Striate martesia","Martesie striée","","","","","t","Martesia striata","MJX","","(Linnaeus 1758)"
"3447","2290100201","Cape rock lobster","Langouste du Cap","Langosta del Cabo","","","","t","Jasus lalandii","LBC","","(H. Milne Edwards 1837)"
"3448","2290100202","Juan Fernandez rock lobster","Langouste Juan Fernandez","Langosta de Juan Fernández","","","","t","Jasus frontalis","LOF","","(H. Milne Edwards 1837)"
"3449","2290100205","Tristan da Cunha rock lobster","Langouste de Tristan da Cunha","Langosta de Tristán da Cunha","","","","t","Jasus tristani","LBT","","Holthuis 1963"
"3440","2282907302","Jack-knife shrimp","Salicoque canif","Camarón cortapluma","","","","t","Haliporoides sibogae","JAQ","","(De Man 1907)"
"3441","229XXXXXXX031","Euro-American crayfishes nei","Écrevisses euro-américain. nca","Cangrejos de río nep","","","Раки речные евро-американские","t","Astacidae, Cambaridae","AYS","",""
"3442","22901XXXXX","Spiny lobsters nei","Langoustes diverses nca","Langostas diversas nep","","","","t","Palinuridae","VLO","",""
"3439","22829073XX","Knife shrimps nei","Salicoques-couteau nca","Camarones navaja nep","","","","t","Haliporoides spp","KNI","",""
"3443","22901001XX","Tropical spiny lobsters nei","Langoustes tropicales nca","Langostas tropicales nep","","","Лангусты тропические колючие","t","Panulirus spp","SLV","",""
"17801","3071300104","Slipper-limpet crepidule","Crepidule bossue","Chancleta jorobada","صَحنِيَّة أحْدَبَة","驼背履螺","","t","Crepidula gibbosa","KPB","","(Michaud 1829)"
"17802","3071300105","Nail-shaped crepidule","Crepidule unguiforme","Chancleta unciforme","صَحنِيّة ظُفريَّةُ الشَّكل","爪形履螺","","t","Crepidula unguiformis","KPI","","Lamarck 1822"
